無能なナナ	54	https://www.amazon.co.jp/gp/product/B074CHB743?ref_=dbs_p_pwh_rwt_anx_b_lnk&storeType=ebooks	no 
もやしもん	53	https://www.amazon.co.jp/gp/product/B074CCTK2F?ref_=dbs_p_pwh_rwt_anx_b_lnk&storeType=ebooks	yes
NARUTO	52	https://www.amazon.co.jp/gp/product/B07571D6J4?ref_=dbs_p_pwh_rwt_anx_b_lnk&storeType=ebooks	yes
GUNSLINGER GIRL	52	https://www.amazon.co.jp/gp/product/B0756YFNXQ?ref_=dbs_p_pwh_rwt_anx_b_lnk&storeType=ebooks	no
死がふたりを分かつまで	49	https://www.amazon.co.jp/gp/product/B075LJNHK3?ref_=dbs_r_series&storeType=ebooks	yes
ノノノノ	48	https://www.amazon.co.jp/gp/product/B074CKQN8G?ref_=dbs_p_pwh_rwt_anx_b_lnk&storeType=ebooks	yes
レベルE	48	https://www.amazon.co.jp/gp/product/B074CK3FRP?ref_=dbs_p_pwh_rwt_anx_b_lnk&storeType=ebooks	yes
純情戦隊ヴァージニアス	45	https://www.amazon.co.jp/dp/B07YG413G9	no
いじめるヤバイ奴	45	https://www.amazon.co.jp/gp/product/B07XTRG6QS?ref_=dbs_p_pwh_rwt_anx_b_lnk&storeType=ebooks	no
奴隷遊戯	45	https://www.amazon.co.jp/dp/B078MLWMPR?ref_=dbs_s_ks_series_rwt	yes
アビスレイジ	45	https://www.amazon.co.jp/dp/B07PGK4N38?ref_=dbs_s_ks_series_rwt	no
ケンガンアシュラ	45	https://www.amazon.co.jp/dp/B08175TF3W?ref_=dbs_s_ks_series_rwt	yes
ケンガンオメガ	45	https://www.amazon.co.jp/dp/B07VBYB4LN?ref_=dbs_s_ks_series_rwt	no
姫様“拷問”の時間です	45	https://www.amazon.co.jp/dp/B084Z5JWK5?ref_=dbs_s_ks_series_rwt	no
血と灰の女王	45	https://www.amazon.co.jp/dp/B074CKX3ZV?ref_=dbs_s_ks_series_rwt	no
へうげもの	45	https://www.amazon.co.jp/dp/B074C5CFPL?ref_=dbs_s_ks_series_rwt	yes
猫楠　南方熊楠の生涯	44	https://www.amazon.co.jp/dp/B00U24A6D0	yes
エルフを狩るモノたち	40	https://www.amazon.co.jp/gp/product/B074C379D2?ref_=dbs_p_pwh_rwt_anx_b_lnk&storeType=ebooks	yes
エルフを狩るモノたち2	40	https://www.amazon.co.jp/dp/B0749S9CJX?ref_=dbs_s_ks_series_rwt	yes
スペクトラルウィザード	40	https://www.amazon.co.jp/dp/B07ZG5BJW6?ref_=dbs_s_ks_series_rwt	unknown
銀河の死なない子供たちへ	40	https://www.amazon.co.jp/dp/B07J2T9MN1?ref_=dbs_s_ks_series_rwt	yes
アオイホノオ	40	https://www.amazon.co.jp/dp/B07TYGDH16?ref_=dbs_s_ks_series_rwt	no
図書館の大魔術師	34	https://www.amazon.co.jp/dp/B07MDWHKRV?ref_=dbs_s_ks_series_rwt	no
天竺熱風録	30	https://www.amazon.co.jp/dp/B0786ZXPQR?ref_=dbs_s_ks_series_rwt	yes
シュトヘル	30	https://www.amazon.co.jp/dp/B074CB1NPY?ref_=dbs_s_ks_series_rwt	yes
ソードブレイカー	30	https://www.amazon.co.jp/dp/B0753HMX2C?ref_=dbs_s_ks_series_rwt	yes
ああ播磨灘	29	https://www.amazon.co.jp/dp/B074CJWP6V?ref_=dbs_s_ks_series_rwt	yes
仏ゾーン	29	https://www.amazon.co.jp/dp/4086186446	yes
栄光なき天才たち	25	https://www.amazon.co.jp/dp/B07DYGYBXN?ref_=dbs_s_ks_series_rwt	yes
多重人格探偵サイコ	23	https://www.amazon.co.jp/dp/B074C4C17C?ref_=dbs_s_ks_series_rwt	yes
Golden Lucky	21	https://www.amazon.co.jp/dp/B077L7MRT1?ref_=dbs_s_ks_series_rwt	yes
ばらかもん	20	https://www.amazon.co.jp/dp/B074C75ZHY?ref_=dbs_s_ks_series_rwt	yes
ヤオチノ乱	18	https://www.amazon.co.jp/dp/B07XD6722J?ref_=dbs_s_ks_series_rwt	yes
MASTERキートン	17,30	https://www.amazon.co.jp/dp/4091816916	yes
JIN-仁-	15	https://www.amazon.co.jp/dp/B074CKW5SX?ref_=dbs_s_ks_series_rwt	yes
いがらしみきおモダンホラー傑作集 ガンジョリ	13	https://www.amazon.co.jp/dp/4091816657	yes
Sink	13	https://www.amazon.co.jp/dp/B074CGML3K?ref_=dbs_s_ks_series_rwt	yes
ネ暗トピア	13	https://www.amazon.co.jp/dp/B0756XHYG1?ref_=dbs_s_ks_series_rwt	yes
人形の国	11	https://www.amazon.co.jp/dp/B079VWQVQ6?ref_=dbs_s_ks_series_rwt	no
BLAME!	11	https://www.amazon.co.jp/dp/B07571PDR7?ref_=dbs_s_ks_series_rwt	yes
銃夢	11	https://www.amazon.co.jp/dp/B074CMKXLT?ref_=dbs_s_ks_series_rwt	yes
惑星のさみだれ	8	https://www.amazon.co.jp/dp/B074CLDMVX?ref_=dbs_s_ks_series_rwt	yes
北北西に曇と往け	6	https://www.amazon.co.jp/dp/B07BNZ86S2?ref_=dbs_s_ks_series_rwt	no
マージナル・オペレーション	5	https://www.amazon.co.jp/dp/B074C8KNPT?ref_=dbs_s_ks_series_rwt	no
めしにしましょう	5	https://www.amazon.co.jp/dp/B074CF8CW6?ref_=dbs_s_ks_series_rwt	yes
美味しんぼ	5	https://www.amazon.co.jp/dp/B0758G1WG1?ref_=dbs_s_ks_series_rwt	yes
ミステリと言う勿れ	4	https://www.amazon.co.jp/dp/B07DX62VDZ?ref_=dbs_s_ks_series_rwt	yes
狼の口 ヴォルフスムント	3	https://www.amazon.co.jp/dp/B074C2LTQR?ref_=dbs_s_ks_series_rwt	yes
